Branche,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Landbrug, skovbrug og fiskeri",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Råstofindvinding,42,41,30,23,16,10,3,.,.,.,.,.,.,.,.,.
Industri,220,172,144,97,85,63,42,39,37,45,64,70,56,59,61,55
Energiforsyning,4,4,.,.,.,.,.,.,.,.,.,3,3,3,3,3
Vandforsyning og renovation,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bygge og anlæg,4,4,3,.,.,.,.,.,.,.,3,8,3,4,3,5
Handel,131,106,84,57,38,21,17,22,19,29,37,49,57,64,52,40
Transport,66,57,47,37,25,12,9,5,5,4,9,12,10,12,7,7
Hoteller og restauranter,9,10,8,6,4,.,.,.,.,.,12,18,36,41,38,30
Information og kommunikation,874,583,365,245,193,130,100,109,114,117,129,123,140,127,107,98
Finansiering og forsikring,82,64,44,41,27,17,10,14,11,10,7,8,7,8,6,6
Ejendomshandel og udlejning,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Videnservice,248,197,153,113,88,71,48,35,38,62,142,141,109,96,108,82
"Rejsebureau, rengøring o.a. operationel service",45,37,23,17,14,5,13,9,8,13,12,13,16,15,17,15
"Offentlig administration, undervisn. og sundhed",236,270,233,204,169,159,121,110,85,94,105,128,141,182,204,246
Kultur og fritid,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.
Andre serviceydelser mv.,5,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Uoplyst aktivitet,26,16,8,.,3,.,.,.,.,.,.,.,.,.,.,.